fallacies.df.Topic;fallacies.df.Intended.Fallacy;fallacies.df.Text;Eric;Pieter;Murilo
Are humans to blame for certain animal extinctions?;No Fallacy;Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans are not to be blamed for animal extinction.;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;OF course they are!;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;We know that only the fittest can survive in this world.;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;just a test arg;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;Yes, they are.;0;;
Are humans to blame for certain animal extinctions?;Ad Hominem;Extinction is not natural, you dont know what you are talking about!;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans don't care enough for living beings.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans must be blamed for using animals.;0;;
Are humans to blame for certain animal extinctions?;Ad Hominem;Of course. You throw your garbage into the ocean, dont you? you are responsible for killings. Murderer.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans are to blame for some animal extinctions.;0;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;Oh now, I'm not going to bebate with you... Habe you even read the instructions?!!;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence. Scenes from movies like Django Unchained had body parts exploding off after being shot with a simple handgun. It's supposed to be for entertainment, and nothing more.;;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;If you think they're too violent, maybe you should go back to watching Disney movies because you can't handle the harsh reality of the world.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;While depiction of violence in movies does reflect violent acts that appear in the real world, such depictions only introduce more negative examples of human behavior into discourse, and thus are all detrimental. Quentin Tarantino's movies are too violent not because of an excess of violence, but that they depict any violence.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Multiple people always die in a gruesome way in all of his movies. He also makes it look funny.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Everyone can choose what movies to watch, and we should respect everyone's preferences.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Sorry, but maybe your son is too young for his movies? My daughter would also cry if she saw Reservoir Dogs, but this does not mean, that the movie is too violent. It does just mean, that she is too young for the movie.;;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;Dont be this soft. Real men are able to watch his movies without crying.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;It could be hard for students to assimilate into mixed gender society.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I regard single sex education as bad.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;There are advantages to sending your child to a co-ed school.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Single-sex schools are more effective.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I don’t think school children should spend as much time as they usually do isolated by age, let alone sex.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I highly recommend a co-ed school.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Social education is important, alongside academics. The real world is not segregated, nor are universities.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Single sex schools are not good.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Personally I’d go co-ed.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Seriously, our society depends on us interacting with each, at the very least, since we each make up over half the damn species!;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Mixed schools are in the majority. And the rate of children getting parents is very low. You are just feared.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I would much prefer my children attend single-sex high schools.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Co-ed schools are better for life.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I think it is generally accepted amongst educators that single-sex schools at high school level is better for learning outcomes than co-ed schools.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I would of much preferred gone to a co-ed.;;;
Are single sex schools more effective than co-ed schools?;Ad Hominem;Of course they are not! You probably went to one, that's why ask those questions.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I'm basically against single-sex education.;;;
Are single sex schools more effective than co-ed schools?;Ad Hominem;I think you visited this school. That is why you are not able to argue right.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;If my daughters can be in an environment that celebrates girls as intelligent, creative individuals, without the boy craziness, than I will take it.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Definitely co-ed!;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Adolescence is hard enough without having to try learning in an environment of hormone-laced competition and distraction.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Im sure they are. Love affairs between students are minimized and that makes them focus on the (more important) teaching-material.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Yes, single-sex!;;;
Are single sex schools more effective than co-ed schools?;Ad Hominem;Because there must not be sex difference in the schools;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Single sex education has been very good for girls, especially.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;Interestingly the boys I know from single sex schools seem more against it than the girls and they do feel they were socially hampered a bit.;;;
Did media ignore crimes from refugees?;Ad Hominem;Refugees are all criminals and you know it;;;
Did media ignore crimes from refugees?;Ad Hominem;I think you are a bit paranoid, aren't you?;;;
Did media ignore crimes from refugees?;No Fallacy;Yes, before the insults from cologne, no newspaper reported crimes from refugees. I dont think that before this date no crimes from refugees were committed.;;;
Did media ignore crimes from refugees?;No Fallacy;You worked at ONE station. You cannot have a total overview over all refugees. It is very likely, that they committed crimes as exactly as other population groups.;;;
Did Titanic really deserve 11 oscars at once?;Ad Hominem;You have obviously no idea of movies. Better get a bigger TV, maybe then you can see better what happens on the screen.;;;
Did Titanic really deserve 11 oscars at once?;No Fallacy;No, there are much better movies, which got less.;;;
Did Titanic really deserve 11 oscars at once?;Ad Hominem;Have you ever watched a movie? I think you have no idea of movies.;;;
Did Titanic really deserve 11 oscars at once?;No Fallacy;I think Titanic deserve 11 Oscars at once.;;;
Did Titanic really deserve 11 oscars at once?;No Fallacy;On what basis? The film wasn't creative. I can easily make a film about Sandy Hook and get all the credit for the story. It was a copy and paste of a story already written in the history books.;;;
Do celebrities get away with more crime than non-celebreties?;No Fallacy;"No It simply means that they have a stockpile of cash that could buy eventually anything for them; for example – “Justice”.";;;
Do celebrities get away with more crime than non-celebreties?;No Fallacy;The rate of celebraties that go into rehab and the rate of other people going to jail for drug posession stongly suggests this is the case.;;;
Do celebrities get away with more crime than non-celebreties?;Ad Hominem;Only people who are really dumb think celebrities get away with more crime.;;;
Do celebrities get away with more crime than non-celebreties?;Ad Hominem;I think you have absolutely no idead, thats all.;;;
Do celebrities get away with more crime than non-celebreties?;No Fallacy;Celebrities are poor, isolated, suffering human beings.;;;
Do celebrities get away with more crime than non-celebreties?;No Fallacy;Celebrities may not get off easy.;;;
Do celebrities get away with more crime than non-celebreties?;Ad Hominem;If i read your arguments, i hope that they put you in prison...;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;But if you read some investigative journalists, you'll find out the truth...;;;
Do celebrities get away with more crime than non-celebrities?;Ad Hominem;I doubt that you know how the legal system in germany works.;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;Of course they do.;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;the police will not dare to give them a ticket;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;Well in germany this is not the case. The legal system works else. The state prosecutors main-task is not to get you in jail, like it is in the USA. He has to investigate into both directions. Thats why the process-costs are less and thats why it is fair. Celebrities have the same chance as the average citizen.;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;Of course not.;;;
Do celebrities get away with more crime than non-celebrities?;No Fallacy;Contrary to the above statement celebrities have it harder than ordinary people.;;;
Do school uniforms make school a more effective place to learn?;No Fallacy;Yes, they do make schools more effective.;;;
Do school uniforms make school a more effective place to learn?;No Fallacy;I don't think school uniforms can influence the pupils' performance.;;;
Do school uniforms make school a more effective place to learn?;No Fallacy;School uniforms just create an extra expense for parents and take away from school itself.;;;
Do school uniforms make school a more effective place to learn?;No Fallacy;School uniforms do not make school a more effective place to learn.;;;
Do school uniforms make school a more effective place to learn?;Ad Hominem;You are only against it, because you are poor.;;;
Do school uniforms make school a more effective place to learn?;Ad Hominem;I like school uniforms... You just don't want it because you can't afford it!;;;
Do school uniforms make school a more effective place to learn?;No Fallacy;Yes, school uniforms do create a better learning environment.;;;
Do social networking sites have a positive impact on society?;No Fallacy;I think the society in general benefits from Social Networks.;;;
Do social networking sites have a positive impact on society?;No Fallacy;The information in social networks is often not reliable.;;;
Do social networking sites have a positive impact on society?;Ad Hominem;Only morons think facebook is a good thing for society;;;
Do social networking sites have a positive impact on society?;No Fallacy;Social networks such as Facebook are the work of the devil.;;;
Do social networking sites have a positive impact on society?;No Fallacy;People become too involved with social media and fail to make real personal connections with others;;;
Do social networking sites have a positive impact on society?;No Fallacy;Social networking binds society closer together.;;;
Do social networking sites have a positive impact on society?;No Fallacy;Yes they have a positive impact, because you are much more connected to others, as you were earlier. More communication means better understanding of others. And better understanding leads to a more peaceful society.;;;
Do social networking sites have a positive impact on society?;No Fallacy;Social networking sites do not have a positive impact on society.;;;
Do we need a global environment task force?;Ad Hominem;It is people like you who force us normal people into the dictatorship of unnecessary organizations.;;;
Do we need a global environment task force?;No Fallacy;Yes, humans are not only mainly responsible for all current environmental problems , but we are also directly affected. We face problems like natural catastrophies, destruction of farm land, destruction of inhabitable areas and loss of resources.;;;
Do we need a global environment task force?;Ad Hominem;Who are you that you tell this bullshit? Your argument is totally nonsense...;;;
Do we need a global environment task force?;Ad Hominem;I can smell, that you are influenced by the 1968 movement. That is all.;;;
Do we need a global environment task force?;No Fallacy;Yes we do.;;;
Do we need a global environment task force?;No Fallacy;Single nations will always have their own benefits in mind and will twist local environment task force to suit there needs.;;;
Do we need a global environment task force?;No Fallacy;Only a few countries contribute to the majority of pollution.;;;
Do we need a global environment task force?;No Fallacy;Well, Ebola is a disease and it makes sense to coordinate countries worldwide to fight against it. To me, global environmental task force sounds fuzzy without a clear purpose. We don't need such an organization.;;;
Do we need a global environment task force?;No Fallacy;There is no need for it.;;;
Do we need a global environment task force?;No Fallacy;A global environment task force is a major tequirement.;;;
Do we need a global environment task force?;No Fallacy;States can't agree on actions against climate change;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;Ad Hominem;You dont know how soccer works, have you ever kicked a ball?;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;Ad Hominem;Of course not, what kind of expert are you to suggest this s*it?;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;No Fallacy;Christiano Ronaldo hat viele Neider, doch er ist wohl mit Abstand der momentan beste Spieler der Welt.;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;Ad Hominem;Are you dumb? This is no reason against the title as worlds-greatest soccer-player, it is completely off topic.;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;Ad Hominem;He is a good charitable person, so yes he does.;;;
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?;No Fallacy;No. No one deserve that title. Since players play such different positions, you can't really compare goalies and offensive players and defensive players. Perhaps you could argue that someone was the best player in a position, but Ronaldo and others can't be named best in the world.;;;
Does school detention do any good in high school?;No Fallacy;Detention is effective because it forces kids to spend some time on homework, takes them away from friends who might be getting them in to trouble, and forces them to miss activities they might prefer to be at, so it deters repeat bad behavior.;;;
Does school detention do any good in high school?;No Fallacy;Yes, if someone is bad at school or has some misbehavior, additional time in school could help him to catch up for lost time.;;;
Does school detention do any good in high school?;No Fallacy;I think it can have an effect on students that will get them to correct their behavior, as they may be embarrased that the have detention. However, kids who get detention all the time end up enjoying it because all of their friends are in there and it becomes more of a playground, instead of punishment.;;;
Does school detention do any good in high school?;No Fallacy;School detention does more harm than good;;;
Does school detention do any good in high school?;Ad Hominem;Teachers like you are the cancer of school system.;;;
Has anyone been on the moon?;No Fallacy;The Apollo missions were all faked. No one has ever been on the moon.;;;
Has anyone been on the moon?;No Fallacy;Yes the man has been on the moon.;;;
Has anyone been on the moon?;No Fallacy;All conspiracy theory supporters should first read Foucalt's Pendulum!;;;
Has anyone been on the moon?;No Fallacy;Yes, there's is no way that they could fake such an event. There is a lot proof, such as video footage and rocks brought back that could not be faked.;;;
Has anyone been on the moon?;No Fallacy;People have been on the moon already.;;;
Has anyone been on the moon?;No Fallacy;They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.;;;
Has anyone been on the moon?;Ad Hominem;Yes, we have proof and don't need some nuts saying otherwise.;;;
Has anyone been on the moon?;Ad Hominem;You believe every retard on the internet, do you?;;;
Has anyone been on the moon?;No Fallacy;Of course they have been on the moon.;;;
Has anyone been on the moon?;Ad Hominem;I believe that you have no idea, thats why you didnt write a constructive argument.;;;
Has anyone been on the moon?;Ad Hominem;We have had people on the moon, no matter what conspiracy nuts living in their mother's basements say.;;;
Has anyone been on the moon?;No Fallacy;It is obviously that anyone has been on the moon. Meanwhile, 2015, there have been quite a lot expeditions to the moon. The newer ones were even livestreamed on Twitter and co. Dont tell me the government fakes livestreams.;;;
Has anyone been on the moon?;Ad Hominem;If you look at how much money we spend on Welfare you would know we would never blow it on fake money for NASA.;;;
Has anyone been on the moon?;No Fallacy;They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.;;;
Has anyone been on the moon?;Ad Hominem;How could anyone be so uneducated to even ask such a question?;;;
Has anyone been on the moon?;No Fallacy;The Apollo missions were all faked. No one has ever been on the moon.;;;
Has anyone been on the moon?;No Fallacy;The americans certainly have not faked the videos.;;;
Has television destroyed the communication among friends and family?;No Fallacy;just a test argument;;;
Has television destroyed the communication among friends and family?;No Fallacy;Communication between family members suffers from watching TV.;;;
Has television destroyed the communication among friends and family?;No Fallacy;No, it does not.;;;
Has television destroyed the communication among friends and family?;Ad Hominem;You are just dumb.;;;
Has television destroyed the communication among friends and family?;No Fallacy;Television didn't destroy the communication among friends and families.;;;
Has television destroyed the communication among friends and family?;Ad Hominem;Television hasn't destroyed anyone, only losers and stupid people destroy themselves.;;;
Has television destroyed the communication among friends and family?;No Fallacy;Definitely so.;;;
Has television destroyed the communication among friends and family?;No Fallacy;people used to be sitting and talking, now they just sit silently next to each other not communicating.;;;
Has television destroyed the communication among friends and family?;No Fallacy;It has, earlier the people talked more with each other.;;;
Has television destroyed the communication among friends and family?;No Fallacy;It's a time killer;;;
Heavy Metal is the best music ever!;No Fallacy;I don't like Heavy Metal generally;;;
Heavy Metal is the best music ever!;No Fallacy;Heavy Metal is most definetely the best music ever!;;;
Heavy Metal is the best music ever!;No Fallacy;Heavy Metal is just a genre.;;;
Heavy Metal is the best music ever!;No Fallacy;I have listened to a lot of music and heavy metal has been the most complex and interesting one so far.  Id say: LETS ROCK,  heavy metal is the best.;;;
Heavy Metal is the best music ever!;Ad Hominem;Amen!!! And screw all the other gay motherfuckers who think it's not!!;;;
Heavy Metal is the best music ever!;No Fallacy;No. It's music of uneducated people. And now go wash your hair.;;;
Heavy Metal is the best music ever!;Ad Hominem;If you dont like heavy metal,  you are too soft.;;;
Heavy Metal is the best music ever!;No Fallacy;It definitely meets all the criteria for what makes good music.;;;
Heavy Metal is the best music ever!;Ad Hominem;nope and nope. get your music right.;;;
Is Apple the new Microsoft?;No Fallacy;Apple is definitely the new Microsoft. Apple is in almost every home in America in some fashion just like Microsoft is in every home as well. Apple actually has overtaken Microsoft in terms of market share.;;;
Is Apple the new Microsoft?;Ad Hominem;No it is not and never will be. Just because hipsters like you think that Apple's stuff looks so much cooler and throw their money at them does not make it any more important or powerful than Microsoft.;;;
Is Apple the new Microsoft?;Ad Hominem;And you are as stupid as they come... your logic is flawed and you need some debating tutolage.;;;
Is Apple the new Microsoft?;No Fallacy;I dont think thats the case. Both companies serve different types of customers. Microsoft creates operating-systems for the average pc-user whereas apple has specialized on products for Yuppies.;;;
Is Apple the new Microsoft?;Ad Hominem;I guess there are 10 times as many yuppies as average users?;;;
Is Apple the new Microsoft?;No Fallacy;no its not apple the new microsoft;;;
Is Apple's Swift the new star?;No Fallacy;Swift is very popular.;;;
Is Apple's Swift the new star?;No Fallacy;I don't even know what we are talking about, very sorry;;;
Is Apple's Swift the new star?;Ad Hominem;yes, the language is intuitive and easy to learn.;;;
Is Apple's Swift the new star?;No Fallacy;You obviously are another follower, point proven.;;;
Is Apple's Swift the new star?;No Fallacy;alter wein in neuen schläuchen;;;
Is Apple's Swift the new star?;No Fallacy;Nope, stars are in the sky;;;
Is Apple's Swift the new star?;Ad Hominem;Yes, everyone who doesn't use it is just too stupid to understand it.;;;
Is Apple's Swift the new star?;No Fallacy;This programming language is open for everybody, so it encourages more developers to participate.;;;
Is Christianity a peaceful religion?;Ad Hominem;You are the antichrist, you want to destroy our belief in god.;;;
Is Christianity a peaceful religion?;No Fallacy;Yes.  Philippians 4:7 says that God will give us peace that surpasses all understanding.;;;
Is Christianity a peaceful religion?;No Fallacy;The instructions given in the new testament, which christians should observe, are peaceful and focused on love.;;;
Is Christianity a peaceful religion?;No Fallacy;The topic is about Christianity in specific, not about religions in general. And christianity is not at war in Middle East.;;;
Is Christianity a peaceful religion?;No Fallacy;Yes, Jesus has almost never used force. Just once to chase away some merchants. He preached of love and forgiveness. The religion builds upon his teachings, so yes, it is peaceful.;;;
Is Christianity a peaceful religion?;Ad Hominem;Im sure you are a christ, that is the reason why you are so prejudiced.;;;
Is democracy the best system available?;No Fallacy;good point. why not;;;
Is democracy the best system available?;Ad Hominem;You're crazy if you think God is in charge.;;;
Is democracy the best system available?;Ad Hominem;Yes, because you would be a miserable dictator.;;;
Is democracy the best system available?;No Fallacy;History has proven that democracy is the best system available- all other systems have been eliminated.;;;
Is democracy the best system available?;No Fallacy;Of course it is! All of the best nations in the world are democratic.;;;
Is democracy the best system available?;No Fallacy;If you look at the history, you will see, that humanity has already tried a lot of different political systems. Democracy has always been the one, where people were the happiest.Therefore i say, yes;;;
Is democracy the best system available?;No Fallacy;Maybe not. There are a lot of systems, which have not been tried so far.;;;
Is democracy the best system available?;No Fallacy;Letting everyone vote is a bad idea.;;;
Is democracy the best system available?;No Fallacy;Democracy is peaceful.;;;
Is drug testing athletes justified?;No Fallacy;It is fair to do so to make sure no one is cheating;;;
Is drug testing athletes justified?;Ad Hominem;You are so damn soft and weak.  I guess you did never do sports, right?;;;
Is drug testing athletes justified?;Ad Hominem;If you are against these tests, you support doping.;;;
Is drug testing athletes justified?;No Fallacy;We need drug testing to ensure fair competition.;;;
Is drug testing athletes justified?;No Fallacy;Yes, because drug-use in professional-sport is quite common. If we dont test for drugs now,  soon nobody will be able to take part there without taking drugs.;;;
Is drug testing athletes justified?;Ad Hominem;we see that you never practice sport!;;;
Is drug testing athletes justified?;No Fallacy;drug testing athletes is justified.;;;
Is drug testing athletes justified?;No Fallacy;I want to protect freedom, thats why im against it.;;;
Is drug testing athletes justified?;No Fallacy;You should test athletes.;;;
Is drug testing athletes justified?;No Fallacy;May be. But not all the times;;;
Is drug testing athletes justified?;No Fallacy;sure why should they get to cheat if I can't cheat in my maths test?;;;
Is drug testing athletes justified?;No Fallacy;Drug testing is justified as it is neccessary to create a fair and competitive environment.;;;
Is drug testing athletes justified?;Ad Hominem;Testing athletes for use of drugs is justified because they are in the public eye.;;;
Is drug testing athletes justified?;No Fallacy;Athletes definitely should be drug tested!;;;
Is global warming really an issue?;No Fallacy;Yes, global warming is a serious issue.;;;
Is global warming really an issue?;No Fallacy;There is no denying tat CO2 Emissions and average temperature aof the atmosphere both have gone up, there are many studies on it.;;;
Is global warming really an issue?;No Fallacy;I know that differences in global temperatures are  totally normal and have been happening for hundreds of thousands of years. This has never been a problem. Now it isnt one as well.;;;
Is global warming really an issue?;Ad Hominem;Everybody who sais, that global warning is no issue is a retard;;;
Is global warming really an issue?;Ad Hominem;You have absolutely no idea, you probably never had a newspaper in your hand.;;;
Is global warming really an issue?;No Fallacy;Global temperature have not risen in the past 15 years;;;
Is global warming really an issue?;Ad Hominem;The world isn't a person!;;;
Is global warming really an issue?;No Fallacy;Global warming is a phenomenon that is not well understood.;;;
Is global warming really an issue?;No Fallacy;Global warming is a hoax created in the Disney studios to undermine the world economy..;;;
Is global warming really an issue?;No Fallacy;Global warming is no issue.;;;
Is it beneficial for the development of young children to study together with people with mental handicaps?;Ad Hominem;The handicaps will hinder the education of the normal kids;;;
Is it beneficial for the development of young children to study together with people with mental handicaps?;No Fallacy;I do not think so because there is always the danger that the normal childs bully the handicaped one because of their mental weakness.;;;
Is it beneficial for the development of young children to study together with people with mental handicaps?;Ad Hominem;What is normal a closed mind is a handicap;;;
